,uid,title,episodes,members,score,Comedy,Action,Fantasy,Adventure,Drama,Sci-Fi,Hentai,Kids,Shounen,Romance,Slice of Life,Music,School,Supernatural,Historical,Mecha,Magic,Seinen,Mystery,Sports,Ecchi,Shoujo,Super Power,Parody,Military
130,8310,Magic Kaito,12.0,46449,7.92,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,35075,Hoozuki no Reitetsu 2nd Season,13.0,28922,7.92,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
132,35678,Hibike! Euphonium Movie 3: Chikai no Finale,1.0,22945,7.92,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
133,15809,Hataraku Maou-sama!,13.0,808817,7.92,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
134,35111,Haikyuu!! Movie 4: Concept no Tatakai,1.0,18547,7.92,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
135,7304,Detective Conan Movie 08: Time Travel of the Silver Sky,1.0,12856,7.92,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
136,1366,Detective Conan Movie 07: Crossroad in the Ancient Capital,1.0,33563,7.92,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
137,23225,Yuru Yuri Nachuyachumi!,1.0,51557,7.93,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,17909,Uchouten Kazoku,13.0,120682,7.93,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,10521,Working'!!,13.0,187178,7.93,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
140,22319,Tokyo Ghoul,12.0,1346036,7.93,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
141,400,Seihou Bukyou Outlaw Star,24.0,109861,7.93,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,9088,Saiyuuki Gaiden,3.0,9958,7.93,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,33190,Planetarian: Hoshi no Hito,1.0,28769,7.93,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,20,Naruto,220.0,1280914,7.93,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
145,33221,Mobile Suit Gundam Thunderbolt: December Sky,1.0,11564,7.93,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
146,22097,Magi: Sinbad no Bouken,5.0,85390,7.93,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
147,3014,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,1.0,25506,7.93,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
148,2890,Gake no Ue no Ponyo,1.0,255185,7.93,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,6702,Fairy Tail,175.0,1025353,7.93,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
150,2035,Eikoku Koi Monogatari Emma: Molders-hen,12.0,17846,7.93,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
151,6351,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",1.0,191025,7.93,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
152,6377,Zan Sayonara Zetsubou Sensei,13.0,77045,7.94,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
153,1485,Akachan to Boku,35.0,14014,7.93,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
154,4163,Seto no Hanayome OVA,2.0,41807,7.94,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
155,2143,Saiyuuki Reload: Burial,3.0,10169,7.94,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
156,6007,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,1.0,122036,7.94,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
157,25517,Magic Kaito 1412,24.0,77076,7.94,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,27947,Lupin III (2015),24.0,39165,7.94,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
159,1695,Les Misérables: Shoujo Cosette,52.0,16991,7.94,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
